cell_id,sample_id,event_index,component_1,component_2,n_test_models,positive_count,negative_count,positive_frequency,negative_frequency
gated_alive:a_001:29675,a_001,29675,-30.29136848449707,-36.276161193847656,5,0,0,0.0,0.0
gated_alive:a_001:29795,a_001,29795,-4.875784397125244,-49.8591423034668,5,0,0,0.0,0.0
gated_alive:a_001:29867,a_001,29867,5.233955383300781,-50.84969711303711,5,0,0,0.0,0.0
gated_alive:a_001:30023,a_001,30023,71.9737319946289,-22.699005126953125,5,0,0,0.0,0.0
gated_alive:a_001:30042,a_001,30042,32.397743225097656,3.517115592956543,5,0,0,0.0,0.0
gated_alive:a_001:30190,a_001,30190,47.82209396362305,23.134830474853516,5,0,4,0.0,0.8
gated_alive:a_001:30337,a_001,30337,45.206085205078125,-19.079593658447266,5,0,0,0.0,0.0
gated_alive:a_001:30348,a_001,30348,-0.2879745066165924,-60.69148635864258,5,0,0,0.0,0.0
gated_alive:a_001:30473,a_001,30473,12.897333145141602,38.98041534423828,5,0,0,0.0,0.0
gated_alive:a_001:30713,a_001,30713,20.645267486572266,15.193102836608887,5,0,0,0.0,0.0
gated_alive:a_001:30803,a_001,30803,21.63111114501953,-0.4428282678127289,5,0,0,0.0,0.0
gated_alive:a_001:31236,a_001,31236,24.959657669067383,-44.825191497802734,5,0,0,0.0,0.0
gated_alive:a_001:31248,a_001,31248,-43.0665283203125,-11.185810089111328,5,0,0,0.0,0.0
gated_alive:a_001:31741,a_001,31741,-16.974382400512695,-18.385272979736328,5,0,0,0.0,0.0
gated_alive:a_001:32706,a_001,32706,-44.63603591918945,32.83950424194336,5,0,0,0.0,0.0
gated_alive:a_001:32938,a_001,32938,-7.898047924041748,-35.05760192871094,5,0,0,0.0,0.0
gated_alive:a_001:33318,a_001,33318,-7.933906555175781,-39.54656982421875,5,0,0,0.0,0.0
gated_alive:a_001:33486,a_001,33486,35.81978225708008,37.86298751831055,5,0,0,0.0,0.0
gated_alive:a_001:33547,a_001,33547,-48.49019241333008,27.231237411499023,5,0,0,0.0,0.0
gated_alive:a_001:33644,a_001,33644,17.748071670532227,-12.870060920715332,5,0,0,0.0,0.0
gated_alive:a_001:33718,a_001,33718,-35.662776947021484,27.079713821411133,5,0,0,0.0,0.0
gated_alive:a_001:33962,a_001,33962,-9.764656066894531,-35.87565994262695,5,0,0,0.0,0.0
gated_alive:a_001:34126,a_001,34126,-27.265766143798828,-21.219581604003906,5,0,0,0.0,0.0
gated_alive:a_001:34268,a_001,34268,27.02191162109375,27.14535140991211,5,0,0,0.0,0.0
gated_alive:a_001:34300,a_001,34300,-23.281824111938477,5.549983024597168,5,0,0,0.0,0.0
